Case Number,Customer ID,Title,Type,Priority,Status,Description,Created Date
CS-00000001,CUST-00001,Cannot login to account,Technical Issue,High,Open,"I've been trying to login for the past 2 hours but keep getting an error message saying 'Invalid credentials'. I'm sure my password is correct. Can you help me reset this?",2024-01-15
CS-00000002,CUST-00002,Billing inquiry - duplicate charge,Billing Inquiry,Critical,In Progress,"I was charged twice for order ORD-00000002. I see two transactions on my credit card for the same amount ($249.99) on the same day. Please investigate and refund the duplicate charge immediately.",2024-01-18
CS-00000003,CUST-00003,How to use bulk import feature,Product Question,Medium,Resolved,"I need to import 500 customer records into the system. Is there a bulk import feature or API I can use? What's the best way to do this?",2024-01-20
CS-00000004,CUST-00004,Poor quality packaging,Complaint,Medium,Closed,"My order arrived with damaged packaging. The outer box had several dents and there were no air pillows inside. One item was slightly damaged. Very disappointed with the packaging quality.",2024-01-22
CS-00000005,CUST-00005,Request for data export feature,Feature Request,Low,Open,"We would love to have a feature that allows us to export all our transaction history and metadata in CSV or JSON format for our internal analysis and record-keeping.",2024-01-25
CS-00000006,CUST-00001,Mobile app crashes on startup,Technical Issue,Critical,In Progress,"The mobile app keeps crashing every time I try to launch it. I've tried restarting my phone and reinstalling the app but nothing works. I'm on iPhone 12 with iOS 17.2.",2024-02-01
CS-00000007,CUST-00006,Refund status update,Billing Inquiry,Medium,Waiting for Customer,"I submitted a refund request 5 days ago but haven't received any updates. Can you tell me the current status? When should I expect the money back to my account?",2024-02-05
CS-00000008,CUST-00007,Integration issue with Salesforce,Technical Issue,High,In Progress,"We're getting intermittent connection errors when our Salesforce org tries to sync with your system. The error message is 'API rate limit exceeded'. Can we increase our rate limit quota?",2024-02-10
CS-00000009,CUST-00008,Product availability question,Product Question,Low,Resolved,"Is the Wireless Keyboard (SKU005) available in white color? The current listing only shows black. Do you plan to stock other colors soon?",2024-02-12
CS-00000010,CUST-00002,Missing items from shipment,Complaint,Critical,In Progress,"I received my order but 2 out of 3 items are missing! I ordered USB cables and a keyboard but only got one cable. This is unacceptable. I need immediate resolution or full refund.",2024-02-15
CS-00000011,CUST-00009,Account upgrade pricing,Billing Inquiry,Medium,Open,"I'd like to upgrade my plan but I'm concerned about the pricing. What would my monthly cost be if I upgrade from the Basic to Professional tier? Any discounts for annual commitment?",2024-02-18
CS-00000012,CUST-00003,Performance optimization request,Feature Request,Low,Open,"For our large organization, the dashboard can sometimes be slow when loading reports with over 100K records. Any tips for optimization or plans for performance improvements?",2024-02-20
CS-00000013,CUST-00004,Wrong product received,Complaint,High,In Progress,"I ordered a winter jacket (SKU007) but received running shoes (SKU016) instead. This is clearly a fulfillment error. I need the correct item shipped immediately or a full refund.",2024-02-22
CS-00000014,CUST-00010,Multi-user collaboration features,Feature Request,Medium,Open,"Our team would benefit from real-time collaboration features where multiple users can edit records simultaneously. Is this on your product roadmap?",2024-02-25
CS-00000015,CUST-00001,API documentation question,Product Question,Low,Resolved,"I'm integrating your API with our custom application. The documentation mentions 'webhooks' but doesn't explain how to configure them. Could you point me to more detailed webhook documentation?",2024-03-01
